# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 2989206917
#
# Overhead  Command    Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .........  ....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.26%  proto_run  proto_run             [.] fleetbench::proto::Message1_M7_M18_M39_M45_M59_M67_M85_M100::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.25%  proto_run  proto_run             [.] google::protobuf::internal::RepeatedPtrFieldBase::GetArena() const
     0.25%  proto_run  libstdc++.so.6.0.30   [.] operator delete(void*)
     0.25%  proto_run  proto_run             [.] fleetbench::proto::Message9_Set_1(fleetbench::proto::Message9*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.25%  proto_run  proto_run             [.] fleetbench::proto::Message8_Set_3(fleetbench::proto::Message8*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.24%  proto_run  proto_run             [.] fleetbench::proto::Message7_M2_M19_M29_M38_M60_M62_M69_M78_M85_M89_M95_M96_M97_M98_M99_M100_M101_M102::ByteSizeLong() const
     0.24%  proto_run  proto_run             [.] google::protobuf::internal::ToCachedSize(unsigned long)
     0.24%  proto_run  proto_run             [.] fleetbench::proto::Message1_M11_M23_M37_M43_M62_M78::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.23%  proto_run  proto_run             [.] google::protobuf::RepeatedPtrField<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~RepeatedPtrField()
     0.23%  proto_run  libc.so.6             [.] 0x00000000000a2761
     0.23%  proto_run  libc.so.6             [.] 0x00000000000a48b4
     0.22%  proto_run  proto_run             [.] absl::lts_20240116::log_internal::GetReferenceableValue(int)
     0.22%  proto_run  proto_run             [.] google::protobuf::internal::RepeatedPtrFieldBase::element_at(int)
     0.22%  proto_run  libc.so.6             [.] 0x00000000000a48b0
     0.22%  proto_run  libstdc++.so.6.0.30   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
     0.22%  proto_run  proto_run             [.] fleetbench::proto::Message9_M5_M11_M23_M34_M36_M40_M51_M58_M59_M63_M65_M67_M69_M70_M71_M72::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.22%  proto_run  proto_run             [.] google::protobuf::internal::ArenaStringPtr::IsDefault() const
     0.21%  proto_run  proto_run             [.] fleetbench::proto::Message9_Set_2(fleetbench::proto::Message9*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.21%  proto_run  proto_run             [.] google::protobuf::internal::GenericTypeHandler<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::Type const& google::protobuf::internal::RepeatedPtrFieldBase::Get<google::protobuf::internal::GenericTypeHandler<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(int) const
     0.21%  proto_run  proto_run             [.] google::protobuf::internal::RepeatedPtrFieldBase::AddMessageLite(void* (*)(google::protobuf::Arena*))
     0.20%  proto_run  proto_run             [.] google::protobuf::internal::WireFormatLite::MakeTag(int, google::protobuf::internal::WireFormatLite::WireType)
     0.20%  proto_run  libc.so.6             [.] 0x00000000000a273f
     0.20%  proto_run  proto_run             [.] unsigned char* google::protobuf::internal::WireFormatLite::WriteInt64ToArrayWithField<1>(google::protobuf::io::EpsCopyOutputStream*, long, unsigned char*)
     0.19%  proto_run  proto_run             [.] google::protobuf::io::EpsCopyOutputStream::WriteStringMaybeAliasedOutline(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned char*)
     0.19%  proto_run  proto_run             [.] fleetbench::proto::Message7_Set_2(fleetbench::proto::Message7*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.19%  proto_run  proto_run             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* absl::lts_20240116::log_internal::Check_GEImpl<int, int>(int const&, int const&, char const*)
     0.19%  proto_run  proto_run             [.] memcpy@plt
     0.19%  proto_run  proto_run             [.] fleetbench::proto::Message0_M9_M17_M24_M41_M63_M68_M80::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.18%  proto_run  proto_run             [.] fleetbench::proto::Message1_Set_3(fleetbench::proto::Message1*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
